subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-8cec59,A-3c1a3f,12/23/2023,4/12/2024,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-0f6f44,A-9b9fe9,6/11/2024,,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-51c0d1,A-659280,11/25/2024,,Enterprise,62,0,0,TRUE,TRUE,FALSE,FALSE,annual,FALSE
S-f81687,A-e7a1e2,11/23/2024,12/13/2024,Enterprise,5,995,11940,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-cff5a2,A-ba6516,1/10/2024,,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-4b9b13,A-fa2041,8/13/2024,,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-dceac6,A-417d2f,12/30/2023,,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-8cad7b,A-5f2961,12/23/2024,,Basic,16,304,3648,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-24796e,A-cc8c8f,11/27/2024,,Enterprise,23,4577,54924,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-d0c344,A-80eeb6,10/27/2024,,Pro,22,1078,12936,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-477506,A-f03140,2/6/2024,,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-79a9e1,A-3a5ad8,12/25/2024,,Enterprise,22,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-59dc4b,A-f17767,9/17/2023,,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,monthly,TRUE
S-7acd8b,A-7920cc,7/17/2024,,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-428e9a,A-8ae3fc,10/12/2024,,Enterprise,88,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-486088,A-0cc442,9/18/2024,,Pro,45,2205,26460,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-13939b,A-86902e,7/21/2023,8/3/2024,Pro,34,0,0,TRUE,FALSE,FALSE,TRUE,monthly,TRUE
S-9333c5,A-ef84cf,6/6/2024,8/13/2024,Basic,8,152,1824,FALSE,FALSE,FALSE,TRUE,annual,FALSE
S-37e3ad,A-b30291,4/25/2024,,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-b17d04,A-e19ff6,3/6/2024,,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-c27134,A-dec005,3/31/2024,,Pro,21,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE
S-3bd427,A-2e3bad,12/4/2024,12/27/2024,Basic,61,1159,13908,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-82989b,A-f5641b,11/30/2024,,Basic,31,589,7068,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-082b15,A-aa9511,2/9/2024,,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-434140,A-075038,2/25/2024,,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c07ede,A-cea1f0,10/7/2024,,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-287914,A-a1b80b,8/15/2024,,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-b3bd43,A-b2225d,11/3/2024,,Pro,50,2450,29400,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-4c82da,A-b9eed8,8/1/2024,,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
S-c75159,A-bcf87c,8/22/2024,9/28/2024,Enterprise,31,6169,74028,FALSE,FALSE,FALSE,TRUE,monthly,TRUE
S-b5643b,A-9f9299,6/11/2024,,Enterprise,28,5572,66864,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-49a9aa,A-10b8f2,6/16/2023,,Basic,51,969,11628,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-2877e6,A-95b24a,6/28/2024,,Enterprise,38,0,0,TRUE,TRUE,TRUE,FALSE,monthly,TRUE
S-8c10c1,A-0651a4,12/25/2024,,Enterprise,65,12935,155220,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-d7d398,A-fb186e,12/28/2024,,Enterprise,29,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-ddad91,A-40906c,6/21/2024,,Enterprise,92,0,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-6762fa,A-40a557,2/12/2024,,Enterprise,16,3184,38208,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-bb1cf1,A-3a5ad8,9/7/2024,,Enterprise,9,0,0,TRUE,TRUE,FALSE,FALSE,monthly,FALSE
S-a805a5,A-2789e3,9/18/2024,,Basic,33,627,7524,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-da0a69,A-49b828,5/11/2023,,Pro,6,294,3528,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-59c5d7,A-c16b88,10/19/2024,,Basic,35,665,7980,FALSE,TRUE,FALSE,FALSE,monthly,TRUE
S-d3faae,A-5c9849,11/12/2024,,Basic,19,361,4332,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-73a4e4,A-993085,9/9/2024,,Pro,31,1519,18228,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-35c8a3,A-e4144b,12/22/2024,,Enterprise,41,8159,97908,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-99fbf7,A-7dacce,9/10/2024,,Enterprise,12,2388,28656,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-e97b9f,A-a0ca4e,3/16/2024,,Enterprise,12,2388,28656,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-763d33,A-ef84cf,7/25/2024,,Basic,23,437,5244,FALSE,FALSE,TRUE,FALSE,annual,FALSE
S-323782,A-7920cc,2/22/2024,,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
